a b c = r_triangle a b c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; d = midpoint d a c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c; d = midpoint d a c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c; d = midpoint d a c ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; d = midpoint d a c ? coll d a c
a b c = r_triangle a b c; o = circle o a b c; d = midpoint d a c ? cong d a d c
a b c = r_triangle a b c; o = circle o a b c; e = on_circle e b c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c; e = on_circle e b c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c; e = on_circle e b c ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; f = on_line f b c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c; f = on_line f b c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c; f = on_line f b c ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; f = on_line f b c ? coll f c c
a b c = r_triangle a b c; o = circle o a b c; g = foot g a b c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c; g = foot g a b c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c; g = foot g a b c ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; g = foot g a b c ? coll g b c
a b c = r_triangle a b c; o = circle o a b c; g = foot g a b c ? perp g a b c
a b c = r_triangle a b c; o = circle o a b c; k = angle_bisector b a c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c; k = angle_bisector b a c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c; k = angle_bisector b a c ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; k = angle_bisector b a c ? eqangle c a c c c c c c
a b c = r_triangle a b c; o = circle o a b c; t = on_bline b a ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c; t = on_bline b a ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c; t = on_bline b a ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; t = on_bline b a ? cong b a b b
a b c = r_triangle a b c; o = circle o a b c; t = on_bline b a ? eqangle a b a b b a b b
a b c = r_triangle a b c; o = circle o a b c; n = on_pline n a b c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c; n = on_pline n a b c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c; n = on_pline n a b c ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; n = on_pline n a b c ? para n a b c
a b c = r_triangle a b c; o = circle o a b c; m = mirror m a c ? perp a b a c
a b c = r_triangle a b c; o = circle o a b c; m = mirror m a c ? cong o a o b
a b c = r_triangle a b c; o = circle o a b c; m = mirror m a c ? cong o b o c
a b c = r_triangle a b c; o = circle o a b c; m = mirror m a c ? cong c a c m
a b c = r_triangle a b c; o = circle o a b c; m = mirror m a c ? coll m a c
a b c = r_triangle a b c; d = midpoint d a c; o = circle o a b c ? perp a b a c
a b c = r_triangle a b c; d = midpoint d a c; o = circle o a b c ? coll d a c
a b c = r_triangle a b c; d = midpoint d a c; o = circle o a b c ? cong d a d c
